APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
"",Dirtwire Banjo Hoodie - Black,Pullover Hoodie,"",S,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Hoodie - Black,Pullover Hoodie,"",M,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Hoodie - Black,Pullover Hoodie,"",L,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Hoodie - Black,Pullover Hoodie,"",XL,1,50%,1,$85.00,$85.00,50%
"",Dirtwire Banjo Hoodie - Black,Pullover Hoodie,"",2XL,1,50%,0,$85.00,$85.00,50%
SUBTOTAL,Dirtwire Banjo Hoodie - Black,Pullover Hoodie,"","",2,1%,1,$85.00,$170.00,5%

"",Dirtwire Banjo Longsleeve Tee - Black,Long Sleeve Shirt,"",S,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Longsleeve Tee - Black,Long Sleeve Shirt,"",M,1,50%,0,$65.00,$65.00,50%
"",Dirtwire Banjo Longsleeve Tee - Black,Long Sleeve Shirt,"",L,1,50%,0,$65.00,$65.00,50%
"",Dirtwire Banjo Longsleeve Tee - Black,Long Sleeve Shirt,"",XL,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Longsleeve Tee - Black,Long Sleeve Shirt,"",2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Dirtwire Banjo Longsleeve Tee - Black,Long Sleeve Shirt,"","",2,1%,0,$65.00,$130.00,4%

"",Dirtwire Banjo Tee - Tie Dye,T-Shirt,"",S,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Tee - Tie Dye,T-Shirt,"",M,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Tee - Tie Dye,T-Shirt,"",L,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Tee - Tie Dye,T-Shirt,"",XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Dirtwire Banjo Tee - Tie Dye,T-Shirt,"","",0,0%,0,$0.00,$0.00,0%

"",Dirtwire Banjo Tee - Black,T-Shirt,"",S,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Tee - Black,T-Shirt,"",M,3,30%,0,$40.00,$120.00,30%
"",Dirtwire Banjo Tee - Black,T-Shirt,"",L,3,30%,0,$40.00,$120.00,30%
"",Dirtwire Banjo Tee - Black,T-Shirt,"",XL,4,40%,0,$40.00,$160.00,40%
"",Dirtwire Banjo Tee - Black,T-Shirt,"",2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Dirtwire Banjo Tee - Black,T-Shirt,"","",10,7%,0,$40.00,$400.00,13%

"",Dirtwire Banjo Tee - Atlantic Green,T-Shirt,"",S,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Tee - Atlantic Green,T-Shirt,"",M,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Tee - Atlantic Green,T-Shirt,"",L,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Tee - Atlantic Green,T-Shirt,"",XL,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Tee - Atlantic Green,T-Shirt,"",2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Dirtwire Banjo Tee - Atlantic Green,T-Shirt,"","",0,0%,0,$0.00,$0.00,0%

"",Dirtwire Banjo Youth Tee - Forest Green,T-Shirt,"",YS,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Youth Tee - Forest Green,T-Shirt,"",YM,1,13%,0,$35.00,$35.00,13%
"",Dirtwire Banjo Youth Tee - Forest Green,T-Shirt,"",YL,2,25%,1,$35.00,$70.00,25%
"",Dirtwire Banjo Youth Tee - Forest Green,T-Shirt,"",YXL,5,63%,0,$35.00,$175.00,63%
SUBTOTAL,Dirtwire Banjo Youth Tee - Forest Green,T-Shirt,"","",8,5%,1,$35.00,$280.00,9%

"",Dirtwire Banjo Crop Tee - Black,T-Shirt,F,S,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Crop Tee - Black,T-Shirt,F,M,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Crop Tee - Black,T-Shirt,F,L,3,100%,0,$45.00,$135.00,100%
"",Dirtwire Banjo Crop Tee - Black,T-Shirt,F,XL,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Banjo Crop Tee - Black,T-Shirt,F,2XL,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Dirtwire Banjo Crop Tee - Black,T-Shirt,F,"",3,2%,0,$45.00,$135.00,4%

"",Dirtwire Onesie,Baby Onesie,"",12M,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Onesie,Baby Onesie,"",18M,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Onesie,Baby Onesie,"",24M,1,100%,0,$25.00,$25.00,100%
SUBTOTAL,Dirtwire Onesie,Baby Onesie,"","",1,1%,0,$25.00,$25.00,1%

"",Dirtwire Beanie - Black,Knit Hat,"",One-Size,2,100%,0,$30.00,$60.00,100%
SUBTOTAL,Dirtwire Beanie - Black,Knit Hat,"","",2,1%,0,$30.00,$60.00,2%

"",Dirtwire Beanie - White,Knit Hat,"",One-Size,2,100%,0,$30.00,$60.00,100%
SUBTOTAL,Dirtwire Beanie - White,Knit Hat,"","",2,1%,0,$30.00,$60.00,2%

"",Metal Dirtwire Hat,Hat,"",M,0,0%,0,$0.00,$0.00,0%
SUBTOTAL,Metal Dirtwire Hat,Hat,"","",0,0%,0,$0.00,$0.00,0%

TOTAL APPAREL,"","","","",30,21%,2,"","$1,260.00",40%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
"",Dirtwire Poster - FOIL,Poster,"",,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Poster - Matte,Poster,"",,0,0%,0,$0.00,$0.00,0%
"",Poster Tube,Accessories,"",,0,0%,0,$0.00,$0.00,0%
"",Dirtwire Tote,Bag,"",,3,2%,1,$20.00,$60.00,2%
"",Sticker- Woodpeckers,Stickers,"",,10,7%,0,$5.00,$50.00,2%
"",Sticker- Holographic Woodpecker Banjo,Stickers,"",,8,5%,0,$5.00,$40.00,1%
"",Dirtwire Koozie,Koozie,"",,7,5%,0,$5.00,$35.00,1%
"",Dirtwire Rolling Papers,Accessories,"",,1,1%,0,$5.00,$5.00,0%
"",Bolo,Jewelry,"",,2,1%,0,$60.00,$120.00,4%
"",Kazolo,Jewelry,"",,0,0%,0,$0.00,$0.00,0%
"",Earplugs,Other,"",,9,6%,0,$4.00,$36.00,1%
"",Geometric Ring,Accessories,"",,0,0%,0,$0.00,$0.00,0%
"",Pins- Ghostcatcher,Pin,"",,4,3%,0,$15.00,$60.00,2%
"",Pins- Dragon,Pin,"",,5,3%,0,$15.00,$75.00,2%
"",Kani Jaw Harp with Case,Other,"",,3,2%,0,$60.00,$180.00,6%
"",Sticker- Dragon,Stickers,"",,5,3%,0,$5.00,$25.00,1%
"",Sticker- Mushroom,Stickers,"",,0,0%,0,$0.00,$0.00,0%
"",Sticker- Ghostcatcher,Stickers,"",,5,3%,0,$5.00,$25.00,1%
"",Sticker- Ram,Stickers,"",,6,4%,0,$5.00,$30.00,1%
"",Sticker- Elk,Stickers,"",,7,5%,0,$5.00,$35.00,1%
"",Sticker- Wolf,Stickers,"",,10,7%,0,$5.00,$50.00,2%
"",Lip Balm,Medicine,"",,1,1%,0,$10.00,$10.00,0%
"",Pinecone Necklaces,Jewelry,"",,0,0%,0,$0.00,$0.00,0%
"",Guitar Pick Earrings,Accessories,"",,0,0%,0,$0.00,$0.00,0%
"",Mini Harmonica,Other,"",,6,4%,0,$12.00,$72.00,2%
"",Harmonica,Other,"",,2,1%,0,$30.00,$60.00,2%
"",Russian Jaw Harp with Case,Other,"",,2,1%,0,$45.00,$90.00,3%
"",Blue Ocarina with Case,Other,"",,3,2%,0,$30.00,$90.00,3%
"",Ghorka Jaw Harp,Other,"",,0,0%,0,$0.00,$0.00,0%
