Register Payments - DIRTWIRE

Date,Venue,"City, St",Total Receipts,Total Fees,Net Receipts
    09/12/2025,Levitt Pavilion Denver,"Denver, CO",$15430.13,$428.83,$15001.30
    09/25/2025,Anthology,"Rochester, NY",$2662.80,$74.73,$2588.07
    09/26/2025,Brooklyn Bowl,"Brooklyn, NY",$2440.68,$69.32,$2371.36
    09/27/2025,Paradise Rock Club,"Boston, MA",$4801.00,$134.77,$4666.23
    09/28/2025,Infinity Hall,"Hartford, CT",$3408.65,$95.71,$3312.94
    09/29/2025,Wally's Pub,"Hampton, NH",$3180.90,$89.46,$3091.44
    10/01/2025,XL Live,"Harrisburg, PA",$1816.85,$51.28,$1765.57
    10/02/2025,Roxian Theater,"McKees Rocks, PA",$5351.20,$148.72,$5202.48
    10/04/2025,Brooklyn Bowl Philadelphia,"Philadelphia, PA",$4599.15,$128.69,$4470.46
    12/04/2025,Senator Theatre,"Chico, CA",$0.00,$0.00,$0.00
    12/05/2025,The Catalyst Club,"Santa Cruz, CA",$0.00,$0.00,$0.00
    12/06/2025,The UC Theatre,"Berkeley, CA",$0.00,$0.00,$0.00
    12/07/2025,Reno Public Market,"Reno, NV",$0.00,$0.00,$0.00
    12/09/2025,Pappy & Harriet's ,"Pioneertown, CA",$0.00,$0.00,$0.00
    12/10/2025,Orpheum Theater,"Flagstaff, AZ",$0.00,$0.00,$0.00
    12/11/2025,The Van Buren,"Phoenix, AZ",$0.00,$0.00,$0.00
    12/12/2025,Area 15,"Las Vegas, NV",$0.00,$0.00,$0.00
    12/13/2025,The Sound At Del Mar,"Del Mar, CA",$0.00,$0.00,$0.00
Totals:,"","",$43691.36,$1221.51,$42469.85


